fov,n_tuned_cells,n_exact_contours_found,smoothing_sigma_um,mean_displacement_um,target_wavelength_um,achieved_rms_gradient_rad_per_um
MB_1,844,844,24.476183693946506,56.39621155141467,700.0,0.004483485127360425
MB_2,771,771,27.71616095084992,51.945303173792325,700.0,0.0044879773671844736
MA_2,419,419,36.911992415099355,66.80290390299189,700.0,0.0044866130971349455
