fov,n_tuned_cells,n_exact_contours_found,smoothing_sigma_um,mean_displacement_um
MB_1,844,844,80.0,101.78671883123013
MB_2,771,771,50.0,66.5924736348342
MA_2,419,419,65.0,81.8002004912594
